,tag,pick_count,avg_pick_rate,avg_win_rate,avg_champ_spread,avg_item_cost
0,CooldownReduction,12141.0,0.05452480204444623,0.5265628860884606,30.617021276595743,2367.723404255319
1,AttackSpeed,5491.0,0.05949086219710878,0.5261336732835549,26.9375,2314.5625
2,Armor,5382.0,0.040695973565538786,0.5325157933853586,41.666666666666664,2068.75
3,Damage,11421.0,0.06042198226595391,0.5346291918395937,32.972972972972975,2451.5675675675675
4,SpellBlock,2905.0,0.022448713774014976,0.5160068846815835,34.68181818181818,2185.0
5,Slow,2558.0,0.03647308919552861,0.5129007036747459,34.46153846153846,2473.076923076923
6,Health,10822.0,0.048404121734005295,0.5162631676215117,37.13953488372093,2299.6046511627906
7,HealthRegen,4113.0,0.029903522778796304,0.5076586433260394,25.5,2040.3846153846155
8,GoldPer,1770.0,0.03915468010383265,0.5033898305084745,24.666666666666668,1275.0
9,LifeSteal,2003.0,0.03595887250205773,0.5262106839740389,26.76923076923077,2219.230769230769
10,SpellVamp,300.0,0.01632,0.53,32.0,3325.0
11,Active,7101.0,0.04622050187069199,0.5318969159273341,28.09090909090909,2242.4242424242425
12,MagicPenetration,1171.0,0.04450665866549726,0.5644748078565329,38.8,2830.0
13,CriticalStrike,3375.0,0.06484490890890891,0.5505185185185185,25.75,2375.0
14,OnHit,8317.0,0.07023794312528232,0.532643982205122,25.307692307692307,2441.653846153846
15,Mana,4296.0,0.04641828979817807,0.5328212290502793,25.75,2282.625
16,Aura,896.0,0.022644787644787646,0.5602678571428571,25.833333333333332,2500.0
17,SpellDamage,9634.0,0.04718789871457507,0.5388208428482458,34.75675675675676,2194.189189189189
18,Vision,679.0,0.07340540540540541,0.5419734904270986,33.0,2900.0
19,ArmorPenetration,2981.0,0.08038292972610316,0.5363971821536397,25.4,2430.0
20,Jungle,109.0,0.0031629060252913463,0.4036697247706422,13.25,675.0
21,NonbootsMovement,8480.0,0.06308814380418154,0.5295990566037736,28.142857142857142,2426.1785714285716
22,ManaRegen,3304.0,0.030614946665794125,0.49515738498789347,18.2,1763.0
