item_id,count,pick_rate,spread,wins,win_rate,tags,name,full_item,total_gold,count_unmasked,wr_unmasked,wr_std_unmasked
0,5659,0.6117837837837837,141,2400.0,0.4241031984449549,,,,,1751.0,0.25471159337521415,0.010412223124360884
1001,459,0.04962162162162162,113,159.0,0.3464052287581699,[Boots],Boots of Speed,False,300.0,297.0,0.26262626262626265,0.025534930772960374
1004,78,0.008432432432432432,23,28.0,0.35897435897435903,[ManaRegen],Faerie Charm,False,125.0,70.0,0.34285714285714286,0.05673322564536834
1006,46,0.004972972972972973,27,18.0,0.39130434782608703,[HealthRegen],Rejuvenation Bead,False,150.0,42.0,0.38095238095238093,0.07493293261613744
1011,269,0.02908108108108108,70,129.0,0.4795539033457249,[Health],Giant's Belt,False,1000.0,235.0,0.4765957446808511,0.03258065219054885
1018,11,0.0011891891891891893,10,2.0,0.18181818181818185,,,,,11.0,0.18181818181818182,0.11629129983033297
1026,480,0.05189189189189189,57,237.0,0.49375,[SpellDamage],Blasting Wand,False,850.0,368.0,0.49184782608695654,0.026060837167290525
1027,63,0.0068108108108108105,42,25.0,0.3968253968253968,[Mana],Sapphire Crystal,False,350.0,59.0,0.3898305084745763,0.06349465253568698
1028,630,0.0681081081081081,113,252.0,0.4,[Health],Ruby Crystal,False,400.0,460.0,0.3630434782608696,0.022421016497198566
1029,442,0.04778378378378378,94,198.0,0.4479638009049774,[Armor],Cloth Armor,False,300.0,334.0,0.4311377245508982,0.027098069126031795
1031,286,0.03091891891891892,79,127.0,0.4440559440559441,[Armor],Chain Vest,False,800.0,244.0,0.4344262295081967,0.03173275190617553
1033,325,0.03513513513513514,103,150.0,0.4615384615384616,[SpellBlock],Null-Magic Mantle,False,450.0,287.0,0.4564459930313589,0.029401880079079703
1036,518,0.055999999999999994,64,228.0,0.44015444015444016,"[Damage, Lane]",Long Sword,False,350.0,390.0,0.4205128205128205,0.024996501719198212
1037,330,0.03567567567567568,57,148.0,0.4484848484848485,[Damage],Pickaxe,False,875.0,274.0,0.43795620437956206,0.029972649784891746
1038,514,0.05556756756756757,54,286.0,0.556420233463035,[Damage],B. F. Sword,False,1300.0,384.0,0.5755208333333334,0.025222788747884597
1039,24,0.0025945945945945945,11,11.0,0.4583333333333333,"[LifeSteal, ManaRegen, OnHit, Jungle]",Hunter's Talisman,False,350.0,20.0,0.45,0.11124297730643495
1041,40,0.004324324324324324,12,17.0,0.425,"[LifeSteal, OnHit, Jungle]",Hunter's Machete,False,350.0,34.0,0.4117647058823529,0.08440353576228697
1042,309,0.0334054054054054,42,129.0,0.4174757281553398,[AttackSpeed],Dagger,False,300.0,247.0,0.3967611336032389,0.03112868266525483
1043,110,0.011891891891891892,26,41.0,0.3727272727272728,"[AttackSpeed, OnHit]",Recurve Bow,False,1000.0,104.0,0.36538461538461536,0.047218670751585694
1051,67,0.007243243243243244,22,37.0,0.5522388059701493,[CriticalStrike],Brawler's Gloves,False,400.0,63.0,0.5555555555555556,0.062604018868779
